Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
NA,20,NA,40,51,0,6,497,NA,NA,1,NA,1,2,10,NA,NA,NA
NA,10,NA,19,56,0,7,859,NA,NA,2,1,10,3,3,NA,NA,NA
NA,27,NA,13,41,0,3,937,NA,NA,0,0.001,1,13,7,NA,NA,NA
NA,18,NA,17,60,0,7,387,NA,5,1,NA,2,15,3,NA,NA,746
NA,13,NA,11,14,1,15,296,NA,17,2,0.001,12,13,3,NA,NA,283
NA,11,2,17,10,0,24,213,NA,7,2,NA,0,15,5,NA,NA,40
NA,9,0,9,9,0,38,265,NA,1,NA,0.001,4,12,10,NA,NA,95
NA,14,1,35,8,0,12,258,NA,1,2,NA,0,14,1,13,NA,93
NA,12,NA,90,9,0,14,225,NA,11,13,NA,4,10,4,1,NA,148
NA,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204
NA,NA,2184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
NA,NA,987,NA,NA,NA,858,115,NA,NA,NA,NA,9,NA,NA,NA,NA,198
NA,NA,801,751,NA,NA,922,122,NA,NA,NA,NA,6,NA,NA,NA,NA,471
17,NA,633,646,8,47,2939,301,NA,NA,NA,NA,10,24,NA,NA,NA,428
10,51,680,734,10,37,4564,625,NA,NA,NA,NA,22,43,NA,NA,NA,454
4,44,816,873,11,4,1635,658,0,NA,NA,NA,33,22,NA,NA,NA,484
1,44,813,1145,6,15,1108,514,0,NA,NA,4,37,70,76,NA,NA,366
5,32,1425,1165,7,30,1425,590,NA,NA,NA,2,48,48,110,NA,NA,45420
0,30,1325,1022,27,20,1761,713,143,NA,NA,1,114,63,81,NA,NA,51189
2,29,1134,1128,14,36,1743,456,189,NA,NA,0.002,147,49,97,NA,NA,38512
0,52,1139,1401,15,61,1799,351,218,NA,NA,0.005,79,97,99,NA,NA,39599
2,36,1105,1381,3,41,2363,216,215,NA,NA,9,319,139,78,NA,NA,27047
9,25,1068,1414,81,91,3999,192,172,38,NA,13,204,100,245,NA,NA,20355
403,38,1181,1314,141,109,3589,241,197,34,NA,28,353,106,161,NA,NA,17811
456,39,1164,1133,169,168,3735,223,233,70,NA,10,83,134,201,NA,NA,17465
225,34,1231,1274,25,159,3648,290,232,41,13,42,19,139,198,NA,NA,21195
409,39,1403,975,99,194,3568,258,236,111,35,19,14,96,186,362,NA,22515
359,34,1522,1060,107,103,3716,188,236,90,27,6,29,108,196,NA,NA,26159
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30506
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27504
NA,NA,NA,NA,NA,NA,46,6,NA,NA,NA,NA,0,NA,NA,NA,NA,38069
NA,NA,NA,44,NA,NA,54,11,NA,NA,NA,NA,2,NA,NA,NA,NA,28024
3,NA,NA,71,0,0,41,10,NA,NA,NA,NA,2,1,NA,NA,NA,31879
2,0,NA,37,3,0,79,3,NA,NA,NA,NA,2,0,NA,NA,0,49414
7,0,NA,88,0,0,84,5,5,NA,NA,NA,0,1,NA,NA,0,53870
5,0,NA,193,1,0,91,0,4,NA,13,NA,0,2,12,NA,0,NA
2,0,NA,127,4,1,83,0,NA,NA,4,16,1,2,2,NA,230,NA
2,0,NA,56,2,1,91,14,7,NA,4,NA,1,5,1,NA,NA,NA
4,0,NA,52,0,0,76,16,20,NA,5,NA,1,1,7,NA,NA,NA
2,0,NA,71,0,0,106,20,12,NA,4,0.032,1,0,3,NA,NA,NA
4,0,NA,100,0,0,89,13,5,NA,1,28,0,1,1,NA,NA,NA
1,0,NA,59,0,0,116,15,8,16,2,NA,3,0,3,NA,NA,NA
3,0,NA,46,0,2,89,2,3,6,1,NA,5,1,5,NA,NA,NA
1,0,14,48,1,0,120,5,1,48,0,3,6,1,7,NA,NA,NA
3,0,28,60,0,1,113,11,1,25,2,1,3,1,8,NA,NA,NA
4,0,28,120,NA,0,108,12,3,81,1,0.001,6,1,8,0,NA,NA
11,2,NA,125,NA,1,109,6,2,31,2,1,5,3,8,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,84,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,59,NA,NA,127,32,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1,NA,NA,62,0,0,172,28,NA,NA,NA,NA,0,24,NA,NA,NA,NA
0,1,NA,50,0,0,267,27,NA,NA,NA,NA,0,19,NA,NA,41,NA
0,0,NA,53,0,0,191,24,63,NA,NA,NA,1,59,NA,NA,0,7324
0,5,NA,71,0,1,275,0,60,NA,2,NA,0,118,0,NA,0,5906
0,3,NA,74,0,0,208,0,NA,NA,2,NA,0,105,2,NA,343,6397
0,2,NA,66,0,0,160,23,37,NA,0,NA,0,47,0,NA,NA,8319
1,6,NA,58,0,0,238,35,73,NA,5,0.002,1,69,0,NA,NA,7779
1,3,NA,46,2,0,230,69,48,NA,2,NA,1,127,0,NA,NA,6843
2,0,NA,49,0,1,180,54,64,NA,0,1,2,126,1,NA,NA,8882
1,5,NA,73,1,0,166,21,55,7,0,1,1,87,1,NA,NA,7651
0,6,NA,74,0,0,82,59,77,9,0,NA,0,163,0,NA,NA,9665
3,4,9,54,0,0,99,57,119,25,1,2,0,174,2,NA,NA,10561
1,3,3,54,0,0,119,71,121,6,1,1,0,84,0,NA,NA,7066
0,1,10,45,NA,0,123,69,140,10,2,NA,0,70,0,0,NA,8626
NA,2,NA,45,NA,1,143,68,106,10,NA,NA,55,91,0,1,NA,11608
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17490
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12248
NA,NA,NA,NA,NA,NA,198,859,NA,NA,NA,NA,26,NA,NA,NA,NA,11663
NA,NA,NA,307,NA,NA,161,734,NA,NA,NA,NA,29,NA,NA,NA,NA,12128
0,NA,NA,276,5,5,143,735,NA,NA,NA,NA,31,1361,NA,NA,NA,11492
2,134,NA,209,3,4,143,680,NA,NA,NA,NA,14,2144,NA,NA,NA,NA
3,108,NA,244,4,4,146,757,1588,NA,NA,NA,19,2840,NA,NA,NA,NA
2,191,NA,237,2,3,167,0,1708,NA,192,NA,32,5537,16,NA,NA,NA
5,259,NA,266,5,7,271,0,NA,NA,192,NA,16,5375,30,NA,NA,NA
7,346,NA,204,6,7,218,933,1443,NA,165,NA,57,5458,30,NA,NA,5029
5,339,NA,245,5,8,248,806,2101,NA,120,1,31,6582,34,NA,NA,4826
3,306,NA,272,6,3,296,746,1748,NA,110,NA,41,10299,32,NA,NA,4421
5,323,NA,288,2,8,337,654,1920,NA,147,NA,37,12208,31,NA,NA,4450
6,163,NA,245,3,14,398,694,1480,94,153,0.002,27,14652,56,NA,NA,5159
6,187,NA,288,4,6,350,613,1853,121,94,1,39,18068,37,NA,NA,4852
10,178,130,414,6,10,318,497,3082,105,115,1,28,17762,44,NA,NA,3348
8,155,131,380,5,8,377,530,3319,127,154,2,42,10840,42,NA,NA,5522
4,138,128,490,8,9,496,568,2742,88,148,NA,37,8337,41,419,NA,7905
10,137,137,760,12,15,474,591,2240,89,142,0.001,0,11700,21,406,NA,10500
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9267
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8712
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8844
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8978
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26818
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17644
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11744
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17902
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17955
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14577
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14581
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22543
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31089
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28231
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29807
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21359
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31783
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19659
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19909
NA,NA,NA,NA,NA,NA,36,446,NA,NA,NA,NA,28,NA,NA,NA,NA,18806
NA,NA,NA,328,NA,NA,25,574,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
33,NA,NA,323,18,3,50,559,NA,NA,NA,NA,22,583,NA,NA,NA,NA
16,35,NA,317,31,6,74,557,NA,NA,NA,NA,24,1957,NA,NA,69,NA
20,37,NA,314,29,1,72,647,2586,NA,NA,NA,31,8992,NA,NA,0,NA
29,35,NA,356,26,4,85,0,3058,NA,121,6,24,91141,43,NA,878,0
40,42,NA,366,19,8,114,0,2214,NA,107,1,22,82639,67,NA,541,7
41,77,NA,446,20,3,132,854,2531,NA,140,2,30,88967,109,NA,NA,0
38,89,NA,380,15,7,171,894,17870,NA,138,1,26,72839,105,NA,NA,5
47,58,NA,506,8,7,208,653,18135,NA,126,6,33,17202,84,NA,NA,0
49,48,NA,561,19,13,195,665,8278,NA,129,4,24,15234,94,NA,NA,8
56,36,NA,620,15,13,312,531,6047,89,121,4,19,21387,202,NA,NA,0
32,32,NA,591,11,8,230,580,4414,78,119,2,30,30162,145,NA,NA,13
39,35,351,642,19,11,239,578,6874,106,128,4,31,37752,106,NA,NA,10
45,41,490,529,20,21,234,600,6324,156,111,16,26,18212,97,NA,NA,13
46,48,858,385,21,13,243,666,6168,220,132,12,17,10967,112,345,NA,4
40,42,399,440,12,14,208,710,4164,118,122,23,22,8797,90,326,NA,16
NA,NA,NA,NA,NA,NA,NA,3104,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
NA,NA,NA,NA,NA,NA,NA,1798,NA,NA,NA,219,NA,NA,NA,NA,NA,12
NA,NA,NA,NA,NA,NA,256,1608,NA,NA,NA,615,13,NA,NA,NA,1000,NA
NA,NA,NA,2418,NA,NA,236,1731,NA,NA,NA,487,28,NA,NA,NA,1000,NA
482,NA,NA,2031,71,26,549,1986,NA,NA,NA,259,24,38,NA,NA,2000,NA
325,800,NA,1320,55,21,768,1744,1054,NA,NA,83,40,48,NA,NA,399,NA
362,701,NA,1416,58,10,509,1660,2778,NA,NA,93,32,67,NA,NA,199,947
304,638,NA,1737,46,10,566,1774,3995,NA,407,113,24,172,66,NA,1749,641
291,640,NA,1915,59,25,677,1873,4514,NA,451,119,33,257,104,NA,515,325
334,820,NA,1634,45,14,732,1896,2883,NA,545,88,45,232,120,NA,NA,382
424,828,NA,1929,37,27,823,1605,6407,NA,525,97,37,184,97,NA,NA,540
504,805,NA,2051,48,22,820,1483,11641,NA,460,68,50,404,122,NA,NA,560
563,809,NA,2061,44,40,741,1453,5584,NA,357,52,49,560,117,NA,NA,556
620,506,NA,1652,42,49,925,1657,5041,727,333,56,60,494,242,NA,NA,675
724,587,NA,1969,52,50,816,2040,3726,779,289,68,43,477,212,NA,1000,796
703,494,257,2314,47,50,910,1847,5274,857,356,58,51,593,230,NA,NA,1593
923,478,291,2486,69,67,1066,1906,7977,625,568,48,62,415,314,NA,NA,1081
1035,409,268,4305,48,60,990,2057,9345,635,425,46,55,410,406,249,NA,1270
1040,520,303,3400,78,60,1084,2254,9572,521,394,53,79,444,673,275,1000,1928
NA,NA,NA,2926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1656
NA,NA,NA,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,715,NA,NA,0,67,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
NA,NA,NA,711,NA,NA,0,70,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
154,NA,NA,602,3,0,0,64,NA,NA,NA,NA,4,52,NA,NA,NA,NA
72,0,NA,463,3,0,0,80,NA,NA,NA,NA,12,55,NA,NA,NA,5893
48,0,NA,413,2,2,0,65,212,NA,NA,NA,5,89,NA,NA,NA,4199
27,3,NA,552,1,0,10,0,375,NA,8,3,4,209,37,NA,NA,4262
35,7,NA,446,2,5,16,0,NA,NA,11,2,5,294,30,NA,NA,4053
39,4,NA,469,2,1,14,66,174,NA,8,1,6,302,37,NA,NA,5092
19,2,NA,441,2,2,14,86,542,NA,14,1,3,292,49,NA,NA,7565
20,3,NA,437,0,4,8,82,825,NA,2,1,6,559,37,NA,NA,6635
27,1,NA,428,1,8,12,62,418,NA,6,0.001,5,712,37,NA,NA,8286
28,2,NA,421,1,2,34,67,328,99,12,NA,4,1127,98,NA,NA,10573
19,5,NA,923,3,2,13,82,258,58,9,5,8,1617,39,NA,NA,16157
53,8,11,1107,4,0,27,73,433,57,11,4,11,1200,50,NA,NA,12786
54,3,17,825,1,2,41,101,691,82,8,3,3,914,50,NA,NA,12917
61,3,26,765,7,4,45,96,1535,115,11,2,7,993,63,40,NA,15462
51,7,NA,660,3,2,55,138,1359,96,22,1,5,1155,51,30,NA,14266
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
NA,NA,NA,0,NA,NA,0,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
NA,NA,NA,0,NA,0,0,11,NA,NA,NA,NA,1,181,NA,NA,NA,1549
NA,1,NA,0,NA,0,0,12,NA,NA,NA,NA,0,324,NA,NA,NA,1717
NA,0,NA,0,NA,0,0,8,9,NA,NA,NA,0,671,NA,NA,NA,1599
NA,0,NA,0,NA,0,46,0,4,NA,1,NA,0,1673,0,NA,NA,1483
NA,0,NA,0,NA,0,33,0,NA,NA,3,NA,0,1104,0,NA,NA,1452
NA,0,NA,0,NA,0,70,11,3,NA,1,NA,1,916,0,NA,NA,1208
NA,3,NA,0,NA,0,75,6,10,NA,0,NA,1,1234,2,NA,NA,1095
NA,3,NA,0,NA,0,106,5,13,NA,0,NA,0,1461,3,NA,NA,1593
NA,2,NA,0,NA,1,67,6,5,NA,0,NA,1,2027,8,NA,NA,1422
NA,0,NA,0,NA,0,13,6,15,60,0,NA,0,2803,0,NA,NA,2115
NA,2,NA,5,0,2,13,2,2,8,1,NA,0,2813,11,NA,NA,1637
NA,1,2,0,0,1,17,6,5,20,0,NA,0,2972,0,NA,NA,1176
NA,0,0,0,1,3,19,12,4,3,2,NA,1,2149,0,NA,NA,1194
NA,1,5,5,NA,0,26,27,14,9,NA,NA,0,1852,2,0,NA,1201
NA,0,NA,0,NA,1,17,10,11,4,NA,NA,0,1565,8,6,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,387,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
NA,NA,NA,71,NA,NA,0,646,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
133,NA,NA,64,9,2,0,604,NA,NA,NA,NA,29,0,NA,NA,NA,NA
98,1,NA,43,5,1,0,441,NA,NA,NA,NA,26,0,NA,NA,NA,NA
214,1,NA,66,6,0,0,422,230,NA,NA,NA,44,1,NA,NA,NA,NA
191,4,NA,97,7,2,4,0,415,NA,35,31,45,6,127,NA,NA,NA
171,3,NA,154,10,4,4,0,NA,NA,34,3,61,5,107,NA,NA,NA
166,6,NA,115,9,0,5,598,283,NA,45,1,84,7,154,NA,NA,NA
150,7,NA,194,16,49,4,809,479,NA,44,58,83,4,221,NA,NA,NA
184,6,NA,303,30,4,9,780,552,NA,46,12,128,12,281,NA,NA,NA
185,10,NA,378,12,4,44,561,1556,NA,24,6,334,13,610,NA,NA,NA
288,5,NA,492,11,3,36,422,1480,16,27,8,300,27,755,NA,NA,NA
251,14,NA,389,9,6,60,586,2714,4,44,2,423,23,816,NA,NA,NA
220,12,9,470,4,4,65,464,1210,22,31,123,778,28,1170,NA,NA,NA
231,17,9,662,7,13,133,649,1586,16,41,27,1670,24,1398,NA,NA,355
207,8,16,740,23,10,252,868,1106,17,43,17,1987,17,1604,2147,NA,NA
217,19,NA,875,40,19,351,933,641,13,53,3,1974,12,2128,2394,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,NA,NA,NA
NA,NA,NA,NA,NA,NA,52,1769,NA,NA,NA,NA,91,NA,381,NA,NA,NA
NA,NA,NA,951,NA,NA,83,1996,NA,NA,NA,NA,110,NA,448,NA,NA,NA
335,NA,NA,785,44,41,80,1453,NA,NA,NA,NA,167,16,292,NA,NA,NA
304,37,NA,598,66,27,91,797,NA,NA,NA,NA,207,5,267,NA,250,NA
382,61,NA,637,48,24,81,814,437,NA,NA,NA,250,31,254,NA,262,NA
386,37,NA,1039,43,29,102,863,684,NA,171,97,306,79,191,NA,241,NA
384,59,NA,1009,31,22,162,822,NA,NA,205,167,419,70,192,NA,77,NA
391,92,NA,802,50,40,129,1019,428,NA,212,54,337,48,170,NA,NA,NA
618,87,NA,1326,37,30,119,981,621,NA,231,59,272,59,201,NA,NA,NA
698,106,NA,1439,39,45,109,887,729,NA,229,71,245,75,245,NA,NA,NA
615,127,NA,1370,43,51,106,589,861,NA,235,67,372,95,252,NA,NA,NA
477,136,NA,1647,46,82,118,582,1071,118,250,13,271,187,454,NA,NA,NA
520,120,NA,1424,54,114,145,618,1127,105,280,70,420,232,491,NA,NA,NA
476,98,160,1473,82,201,133,719,1009,155,266,70,425,315,518,NA,NA,NA
751,103,177,1212,102,113,151,789,978,145,274,42,631,377,795,NA,NA,NA
825,80,183,1750,60,69,162,931,830,190,281,73,479,271,958,322,NA,NA
731,63,181,2035,80,106,139,1051,749,191,237,48,508,225,654,260,1000,NA
1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,NA,NA,NA,NA,NA,24
1504,NA,NA,NA,NA,NA,0,16,NA,NA,NA,926,1,NA,NA,NA,NA,21
2339,NA,NA,623,NA,NA,0,11,NA,NA,NA,1318,0,NA,NA,NA,NA,4
2294,NA,NA,443,0,0,0,11,NA,NA,NA,1593,2,0,NA,NA,NA,18
1376,0,NA,386,0,0,0,10,NA,NA,NA,1577,2,0,NA,NA,535,32
1725,3,NA,359,0,0,0,8,5,NA,NA,1831,1,0,NA,NA,174,41
1735,2,NA,460,2,0,3,0,1,NA,4,2184,0,0,1,NA,77,40
1845,1,NA,669,1,0,5,0,NA,NA,1,3624,2,1,1,NA,151,50
1733,2,NA,616,0,0,2,14,2,NA,5,2202,1,0,3,NA,NA,66
1851,1,NA,566,0,0,2,16,2,NA,1,2187,2,1,2,NA,NA,85
1786,0,NA,492,0,0,4,13,1,NA,0,2044,1,1,3,NA,NA,95
1794,0,NA,304,0,0,6,8,1,NA,1,2721,2,1,2,NA,NA,82
1948,1,NA,273,0,0,17,7,3,133,1,2507,2,3,3,NA,NA,171
1558,1,NA,302,1,0,6,7,0,115,1,2709,2,2,1,NA,NA,138
1841,3,2,316,0,0,14,14,3,104,2,3059,7,9,2,NA,NA,NA
1890,0,3,306,0,0,35,30,1,122,1,2717,1,0,5,NA,NA,NA
1530,5,3,385,1,0,31,28,4,111,NA,1290,1,0,2,2,NA,NA
1438,1,NA,310,NA,0,30,32,4,129,1,1057,0,0,1,2,NA,NA
4210,NA,820,NA,303,NA,NA,NA,NA,NA,8912,NA,NA,NA,NA,34202,NA,175
4854,NA,720,NA,242,NA,NA,NA,NA,NA,8449,NA,NA,NA,NA,25328,NA,226
6665,NA,2486,NA,16644,NA,0,56448,NA,NA,7349,NA,0,NA,NA,22252,2000,183
NA,NA,2486,NA,NA,NA,30,NA,NA,NA,3383,NA,0,NA,NA,3824,1000,231
2423,NA,104,NA,192,5,65,NA,NA,NA,1578,NA,0,NA,NA,187,NA,390
1478,NA,325,1172,339,10,126,NA,NA,NA,1421,NA,0,NA,NA,1,456,343
480,NA,5082,1495,207,55,0,NA,NA,NA,735,NA,0,NA,NA,NA,327,263
278,NA,422,4740,252,6,0,NA,NA,NA,1392,194,0,NA,2915,NA,671,422
374,NA,743,2800,202,18,0,NA,NA,NA,1135,138,0,NA,2368,NA,230,581
NA,NA,835,1625,140,2,0,NA,NA,NA,845,54,0,NA,2123,NA,NA,897
NA,NA,834,940,101,2,0,NA,NA,NA,849,24,0,NA,0,NA,NA,826
NA,NA,792,705,64,0,0,NA,NA,NA,616,34,0,NA,0,NA,NA,739
NA,NA,995,270,51,0,0,NA,NA,NA,514,21,0,NA,0,NA,NA,978
NA,NA,NA,125,49,0,0,NA,NA,0,559,17,0,NA,0,NA,NA,859
NA,NA,NA,50,126,0,0,NA,NA,0,517,22,0,NA,0,NA,NA,NA
NA,NA,218,55,56,0,0,NA,NA,0,146,27,0,NA,0,NA,NA,NA
NA,NA,167,15,25,0,0,NA,NA,0,207,0.02,0,NA,0,NA,NA,NA
NA,NA,92,15,4,0,0,NA,NA,0,NA,0.011,0,NA,0,NA,NA,NA
NA,NA,NA,NA,4,0,0,NA,NA,0,6,0.003,0,NA,0,NA,NA,812
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,964
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1554
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1578
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5093
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4455
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3707
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4339
NA,NA,NA,NA,NA,NA,102,25,NA,NA,NA,NA,0,NA,NA,NA,NA,4023
NA,NA,NA,17,NA,NA,112,27,NA,NA,NA,NA,0,NA,NA,NA,NA,4248
0,NA,NA,17,0,0,157,42,NA,NA,NA,NA,1,0,NA,NA,NA,4410
0,0,NA,18,0,0,265,28,NA,NA,NA,NA,0,4,NA,NA,NA,5337
0,1,NA,30,0,0,230,35,8,NA,NA,NA,3,4,NA,NA,NA,6491
0,2,NA,24,0,0,300,0,9,NA,1,NA,0,20,0,NA,NA,9367
0,7,NA,38,0,0,365,0,NA,NA,1,NA,1,9,1,NA,NA,7610
0,2,NA,49,1,1,444,64,5,NA,30,NA,0,15,0,NA,NA,8195
0,4,NA,82,0,0,424,65,13,NA,7,NA,1,13,0,NA,NA,8401
0,2,NA,49,0,0,483,59,15,NA,11,2,1,21,0,NA,NA,7429
1,5,NA,105,1,0,471,48,7,NA,4,0.003,2,28,0,NA,NA,NA
0,4,NA,87,0,0,679,51,9,27,1,4,5,34,0,NA,NA,NA
0,4,NA,105,1,0,676,40,3,70,3,NA,0,25,2,NA,NA,NA
6,1,39,93,2,0,705,51,14,148,4,NA,0,22,3,NA,NA,NA
0,8,38,70,0,0,758,80,25,31,3,NA,0,24,0,NA,NA,NA
0,8,27,65,2,0,855,38,28,93,13,1,0,55,1,13,NA,NA
NA,7,NA,65,NA,1,856,33,9,41,1,0.001,0,21,4,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,12,393,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
NA,NA,NA,18,NA,NA,20,362,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
5,NA,NA,31,30,14,99,285,NA,NA,NA,NA,41,108,NA,NA,NA,NA
2,10,NA,19,28,3,128,296,NA,NA,NA,NA,37,176,NA,NA,0,NA
5,45,NA,26,33,5,54,248,42,NA,NA,NA,49,201,NA,NA,635,NA
0,121,NA,73,45,14,43,0,92,NA,47,NA,38,700,158,NA,563,NA
0,73,NA,37,27,13,73,0,NA,NA,41,NA,35,730,115,NA,388,NA
0,110,NA,31,28,11,53,286,31,NA,45,0.001,52,887,109,NA,NA,NA
2,131,NA,91,12,7,66,310,63,NA,43,1,26,817,141,NA,NA,NA
0,209,NA,49,16,11,58,273,56,NA,36,5,34,1945,121,NA,NA,NA
