Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
0,30,NA,256,1,55,803,366,98,NA,31,NA,85,213,23,NA,NA,199
0,27,NA,291,5,32,972,330,80,NA,31,NA,30,222,19,NA,NA,221
0,16,NA,172,1,13,1078,297,76,49,17,1,20,269,86,NA,NA,173
8,13,NA,101,6,25,896,368,45,54,26,NA,23,316,30,NA,NA,148
6,15,96,70,2,39,891,348,85,157,25,NA,42,272,17,NA,NA,NA
5,7,89,59,0,19,796,341,83,56,20,NA,31,229,27,NA,NA,NA
4,18,136,50,4,22,680,391,78,62,37,0.001,27,151,10,314,NA,NA
3,11,114,40,1,35,734,349,69,97,20,NA,38,146,15,263,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
