Australia,Austria,Belgium,Canada,Denmark,Finlad,France,Germany,Italy,Japan,Netherlands,New Zealand,Norway,Spain,Sweden,Switzerland,UK,USA
0.23,0.04,7.81,8.3,NA,5.12,30.55,14.14,0.66,13.76,4.9,NA,1.8,7.4,15.13,11.73,2.91,193.9
1.94,NA,1.7,8.73,0.82,4.41,37,13.28,1.27,20.83,4.87,NA,NA,9.71,10.2,12.97,NA,155.12
NA,5.22,4.34,4.88,0.1,0.39,63.21,61.5,5.27,26.26,8.94,0.07,2.69,34.29,18.4,1.93,2.74,228.21
NA,1.07,6.24,5.49,2.35,0.54,10.79,40.73,4.52,41.56,1.26,0.08,7.73,NA,2.52,1.73,3.07,6.25
NA,0.17,7.92,2.76,NA,0.19,39.1,32.81,1.61,54.92,0.45,NA,3.36,NA,0.37,1.37,4.9,7.54
NA,1.68,6.55,2.46,NA,0.47,10.55,38.96,3.06,23.71,0.86,0.17,2.89,NA,NA,3.24,4.65,2.34
NA,0.17,5.91,2.96,NA,0.08,10.3,47.69,0.28,54.1,3.55,NA,2.76,7.53,NA,1.95,3.48,3.79
NA,0.17,5.57,2.65,NA,0.22,10.31,22.46,0.68,17.22,0.63,0.16,2.74,7.43,4.4,2.46,2.39,2.73
NA,0.27,5.15,1.37,NA,0.4,9.3,28.54,1.07,17.53,0.05,0.17,8.15,NA,4.37,2.65,1.68,3.16
0.17,0.5,4.65,3.98,NA,0.28,7.94,12.07,0.91,21.82,NA,0.21,2.83,2.85,1.43,0.95,0.23,2.28
0.03,0.35,3.13,1.7,NA,0.04,7.88,37.82,0.82,24.71,0.2,0.19,0.19,3.79,4.26,1.61,NA,2.39
NA,0.21,4.1,3.92,NA,0.07,11.34,42.79,0.19,27.05,NA,0.13,0.53,4.93,0.91,1.03,0.43,2.3
0.04,0.22,4.68,2.77,NA,0.27,15.41,19.22,0.27,11.39,NA,0.33,0.46,2.96,1.12,3.35,0.55,2.56
0.05,0.09,2.03,2.72,NA,0.13,14.47,33.17,1.19,13.49,0.24,0.33,0.1,4.15,1.2,1.09,1.21,2.84
0.09,0.12,2.39,2.17,NA,0.22,15.83,22.84,0.05,11.83,0.03,0.35,0.19,4.87,0.8,1.17,1.17,2.95
0.25,0.09,1,1.42,NA,0.1,12.68,11.08,0.39,9.63,NA,0.21,NA,4.84,0.12,1.11,0.92,1.32
0.05,0.2,0.98,1.3,NA,0.34,13.44,66.67,0.81,10.29,0.06,0.83,0.66,6.67,NA,1.19,0.5,1.34
0.13,0.2,1.01,1.61,NA,0.21,14.23,96.48,0.29,9.31,0.38,0.35,0.13,7.49,0.06,0.65,0.49,2.91
0.26,0.2,1.27,2.52,0.08,0.21,12.58,77.64,0.13,10.23,0.45,0.32,0.01,17.66,0.38,1.2,0.7,6.58
6.29,0.46,1.11,3.86,NA,1.04,15.01,23.13,2.99,17.16,0.03,1.34,2.97,11.74,0.87,2.24,0.76,25.74
0.75,0.23,0.42,1.74,NA,0.92,15.1,27.06,1.05,5.51,NA,0.28,0.15,6.25,NA,0.95,0.6,1.66
156.42,91.12,6.08,132.8,NA,25.74,72.21,403.82,1.1,1681.6,13.67,0.53,23.24,51.83,23.03,5.52,71.55,0.51
152.28,86.98,5.18,226.94,8.61,11.56,29.12,973.24,13.64,339.92,9.95,0.55,53.32,95.55,37.99,0.48,80.15,0.37
123.81,46.08,15.03,52.51,22.88,6.96,83.05,281.83,11.74,3465.08,16.67,NA,21.84,68,22.73,29.32,77.47,0.61
31.33,9.03,14.03,122.73,6.33,11.08,67.27,1130.01,3.58,1892.87,21.4,1.28,39.04,78.03,NA,5.04,89.98,0.67
59.48,19.62,14.34,76.79,NA,11.02,20.29,352.61,91.03,2008.05,28.61,NA,35.6,43.16,NA,7.14,67.76,0.64
48.86,36.61,12.82,63.68,NA,12.38,16.82,127.18,0.35,1914.98,64.13,1.51,21.7,106.76,18.78,0.61,79.23,0.65
65.66,17.21,5.57,44.9,27.7,16.14,140.82,471.43,15.49,436.55,41.71,1.44,49.64,60.29,3.6,6.08,85.77,51.57
167.81,40.13,8.43,49.12,42.64,12.72,55.16,115.34,5.12,2329.63,18.87,1.16,23.78,92.77,8.03,9.96,126.07,2.03
142.45,12.78,4.13,47.16,42.51,10.84,90.14,236.36,31.88,1958.34,45.82,0.82,46.49,75.74,14.48,38.39,79.74,9.08
18.26,40.26,8.36,85.34,19.34,19.07,59.38,205.2,8.72,1617.09,76.56,0.64,19.01,91.93,4.06,10.31,97.07,22.98
64.76,20.24,4.18,120.8,33.05,25.97,116.72,434.85,67.91,1418.56,6.25,3.65,22.56,80.99,18.05,13.37,68.01,29.36
12.71,32.91,2.04,53.31,10.24,16.94,151.96,476.08,39.73,1309.05,7.08,2.61,16.21,72.01,21.64,7.62,86.95,52.36
19.71,25.81,2.8,56.85,17.15,35.16,260.9,193.21,15.2,1032.82,19.27,1.75,11.47,63.14,10.95,8.98,80.19,42.46
14.66,36.47,3.1,15.83,15.14,9.33,155.59,600.43,107.68,973.22,22.39,0.74,18.94,65.82,13.59,3.98,97.58,51.37
43.37,41.43,3.73,28.9,13.03,5.52,176.28,536.65,133.17,1199.5,20.87,1.31,28.72,102.29,9.07,7.13,179.92,70.67
70.09,38.86,4.89,39.36,32.5,5.58,297.88,959.4,17.24,285.24,16.18,1.7,22.7,59.13,13.7,13.96,220.53,115.81
16.65,22.37,8.56,12.67,9.09,7.68,490.87,821.61,6.79,300.16,1.51,2.38,59.62,63.14,2.71,7.49,178.87,70.37
33.5,62.04,3.18,15.63,16.69,18.39,421.75,886.63,4.37,366.12,4.29,2.54,23.39,2.7,8.64,10.59,101.19,102.58
30.55,47.92,2.49,3.89,22.7,4.45,284.61,633.7,2.46,411.6,2.36,0.61,28.03,4.44,11.66,12.66,85.54,50.1
NA,5.23,0.11,NA,NA,NA,2.48,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.01,0.3,NA,NA,NA,2.93,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.46,0.14,NA,NA,NA,3.26,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.49,0.1,NA,NA,NA,4.41,8.6,NA,16.08,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.48,2.18,4.75,NA,NA,22.05,39.62,7.28,10.19,5.03,0.06,0.41,NA,NA,9.66,6.3,528.5
NA,1.01,1.46,NA,0.2,NA,14.41,59.64,1.68,10.3,6.79,0.07,1.24,NA,NA,2.56,7.06,33.17
0.08,0.8,3.89,10.19,NA,0.08,16.34,39.9,1.64,13.17,4.37,NA,2.08,61.62,NA,1.49,6.89,23.98
NA,1.13,2.27,22.2,NA,0.03,18.28,22.76,0.62,88.2,4.65,0.08,5.01,37.83,NA,1.54,5.91,27.35
NA,0.63,2.99,6.97,NA,NA,15.87,30.66,0.9,9.52,7.6,NA,8.39,33.3,NA,5.44,6.61,53.08
0.07,1.1,1.6,10.49,NA,0.2,13.9,12.39,0.61,8.12,19.75,0.19,15.74,18.4,5.5,1.12,6.87,87.48
0.86,1.22,2.57,7.05,NA,0.29,14.81,22.64,2.16,15.14,2.12,0.22,17.38,29.52,5.17,3.58,6.77,343.51
0.12,2.04,2.51,5.29,NA,NA,10.9,17.61,1.57,19.15,2.75,0.28,13.17,29.9,15.21,11.11,5.11,1542.23
0.1,0.45,2.42,7.15,NA,0.93,11.36,25.33,2.43,12.07,38.39,0.09,66.53,54.21,7.69,6.14,4.17,316.03
0.05,0.71,3.06,22.64,0.45,0.69,14.9,18.14,2.03,10.94,8.06,0.17,12.78,63.61,11.88,16.05,4.71,684.25
0.92,0.59,2.73,7.77,NA,0.76,21.07,25.53,1.43,11.62,NA,0.11,13.83,26.74,16.58,9.2,3.71,823.29
0.82,0.6,4.25,11.91,NA,0.86,23.12,19.76,6.35,8.16,28.21,0.15,9.75,29.84,17.22,9.04,2.38,800.52
0.86,1.81,3.07,8.44,0.34,2.22,23.04,24.59,0.53,13.06,25.88,0.08,9.61,54.96,28.55,12.07,1.42,846.05
0.5,0.62,5.51,9.38,1.31,1.3,27.56,20.7,1.01,9.45,32.56,0.06,13.15,81.86,13.29,10.76,0.69,1443.77
0.58,0.61,3.52,16.46,NA,1.63,35.44,68.66,4.01,15.24,76.24,0.02,13.79,69.14,23.46,8.78,1.44,459.67
0.48,0.59,8.3,24.54,NA,3.38,23.87,48.33,6.23,9.15,26.82,0.01,9.36,93.46,25.88,11.97,3.42,917.67
0.08,0.94,4.74,33.95,NA,2.18,25.87,55.07,4,11.85,11.25,NA,13.72,124.14,33.67,21.45,8.98,895.56
0.09,1.11,6.53,43.02,0.02,3.13,161.72,43.92,5.85,13.16,32.48,0.1,14.96,78.47,23.42,24.25,3.03,418.18
0.57,0.87,4.99,28.28,0.01,3.81,288.24,62.56,2.84,13.47,14.69,NA,11.07,57.27,31.87,17.94,4.73,214.99
NA,NA,0.13,NA,NA,0.32,18.74,0.45,0.29,3.14,NA,NA,NA,NA,NA,NA,0.09,0.84
NA,NA,0.72,0.28,NA,NA,11.72,0.39,0.43,2.89,NA,NA,NA,NA,NA,NA,0.1,0.87
NA,NA,0.04,0.17,NA,NA,16.77,0.21,NA,0.47,NA,NA,NA,NA,NA,NA,0.06,1.24
NA,NA,0.06,0.07,NA,0.04,18.33,0.4,NA,0.33,0.02,NA,NA,NA,NA,NA,0.05,0.03
NA,NA,0.27,NA,NA,0.09,17.34,0.26,NA,4.86,NA,NA,NA,NA,NA,NA,0.03,NA
NA,NA,0.22,NA,NA,0.03,16.01,0.58,0.39,1.45,NA,NA,NA,NA,NA,NA,0.04,0.03
NA,NA,0.11,NA,NA,NA,9.44,0.42,NA,1.32,NA,NA,NA,NA,NA,NA,0.04,NA
NA,NA,0.35,NA,NA,NA,10.3,0.03,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04
NA,NA,0.3,NA,NA,NA,8.68,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.19,0.02,NA,NA,11.12,0.01,NA,NA,NA,NA,0.04,NA,NA,NA,NA,0.04
NA,NA,0.21,NA,NA,NA,11.84,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
NA,NA,0.37,NA,NA,NA,20.21,0.02,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.36,NA,NA,NA,16.41,0.03,NA,0.03,NA,NA,0.04,NA,NA,NA,NA,0.05
NA,NA,0.41,NA,NA,NA,23.51,0.02,NA,0.06,NA,NA,NA,NA,NA,NA,NA,0.05
NA,NA,0.39,NA,NA,NA,34.5,0.04,NA,0.01,NA,NA,NA,NA,NA,0.7,NA,NA
NA,NA,0.16,NA,NA,NA,18.9,0.01,NA,0.03,0.39,NA,1.09,NA,NA,NA,NA,1.19
NA,NA,0.17,1.6,NA,NA,20.57,NA,NA,5.3,NA,NA,NA,0.05,NA,NA,NA,0.05
NA,NA,0.16,0.74,NA,NA,28.63,NA,NA,0.7,NA,NA,NA,NA,NA,NA,0.14,0.67
0.13,NA,NA,0.38,NA,NA,24.36,0.02,1.3,3.71,NA,NA,NA,NA,NA,NA,0.13,0.23
NA,0.05,1.11,NA,NA,NA,36.65,7.36,0.18,0.31,0.01,NA,0.15,NA,NA,0.13,1.04,4.11
NA,0.04,3.11,0.24,NA,NA,320.94,13.05,0.33,0.41,NA,NA,0.15,NA,NA,0.02,1.17,11.05
0.02,0.04,1.14,0.18,NA,NA,46.42,10.7,0.27,0.31,0.02,NA,0.07,NA,NA,0.13,NA,18.04
NA,0.03,0.91,12.28,NA,NA,188.76,12.46,50.34,0.19,0.02,NA,0.06,NA,NA,0.12,2.43,12.36
NA,0.05,1.1,7.04,NA,0.2,268.72,5.02,NA,0.12,0.34,NA,1.72,NA,NA,0.67,NA,0.89
NA,0.09,2.12,6.23,NA,NA,41.93,2.05,3.46,0.17,NA,NA,1.33,NA,17.94,0.02,7.85,0.15
NA,0.14,0.1,6.15,NA,NA,32.8,5.04,81.91,0.04,2.9,NA,3.47,0.12,1.51,1.31,7.5,NA
NA,0.09,0.02,1.5,NA,NA,27,1.54,1.72,0.07,NA,NA,4.44,0.06,2.99,1.19,0.06,11.79
NA,0.15,0.39,0.73,NA,0.18,22.55,0.92,1.45,0.18,1.37,NA,0.54,1.59,2.96,0.1,NA,12.06
NA,0.07,2.26,1.07,NA,0.1,46.11,2.21,3.16,0.17,0.11,NA,0.28,NA,4.08,0.42,0.47,10.59
NA,0.11,1.22,0.18,NA,0.59,38.89,1.45,0.25,0.1,2.72,NA,1.36,0.18,4.44,0.11,5.23,6.93
NA,0.12,17.82,0.15,NA,NA,62.3,1.05,0.74,3.06,1.01,NA,2.85,0.23,6.14,0.16,5.55,1.33
NA,0.06,26.39,27.86,NA,0.14,1084.12,71.32,62.2,0.17,0.53,NA,3.82,162.67,2.04,16.99,0.65,21.69
NA,0.02,2.23,3.23,NA,NA,248.98,7,42.49,0.4,NA,NA,1.32,0.49,4.63,0.13,0.69,15.66
NA,0.03,0.33,0.1,NA,NA,47.54,8.26,0.01,8.55,NA,NA,0.81,0.97,2.88,0.51,0.19,12.93
NA,0.03,1.11,0.55,0.33,NA,401.55,1.24,0.52,7.82,NA,NA,NA,0.39,2.58,0.41,0.02,3.2
NA,0.07,10.34,11.18,NA,NA,147.74,38.39,32.63,0.39,NA,NA,0.01,41.74,0.47,6.03,NA,12.23
NA,0.03,78.55,22.09,NA,0.06,929.39,8.71,117.03,5.99,NA,NA,0.52,0.49,1.94,12.15,90.31,32.33
0.22,0.01,0.16,1.48,NA,NA,67.26,99.52,0.04,7.22,NA,NA,0.12,0.43,NA,0.37,NA,4.5
5.47,NA,NA,NA,NA,NA,0.59,0.22,NA,0.46,NA,6.81,NA,NA,NA,NA,NA,0.12
0.97,NA,NA,NA,NA,NA,NA,0.32,NA,0.87,NA,7.71,NA,NA,NA,NA,NA,NA
5.09,NA,NA,NA,NA,NA,0.11,0.24,NA,0.14,NA,NA,NA,NA,NA,NA,0.02,NA
4.01,NA,NA,NA,NA,NA,0.03,0.12,NA,0.27,NA,5.59,NA,NA,NA,NA,NA,NA
2.75,NA,NA,NA,NA,NA,0.04,0.03,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
2.75,NA,NA,NA,NA,NA,NA,0.06,NA,0.37,NA,4.3,NA,NA,NA,NA,NA,NA
0.52,NA,NA,NA,NA,NA,0.08,0.14,NA,0.5,NA,2.94,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,0.06,NA,0.33,NA,2.08,NA,NA,NA,NA,NA,NA
3.84,NA,NA,NA,NA,NA,0.78,0.04,NA,0.24,NA,2.29,NA,NA,NA,NA,NA,NA
0.75,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,2.66,NA,NA,NA,NA,NA,NA
2.82,NA,NA,NA,NA,NA,NA,0.02,NA,0.19,NA,3.95,NA,NA,NA,NA,NA,NA
2.02,NA,NA,NA,NA,NA,NA,0.02,NA,0.19,NA,7.08,NA,NA,NA,NA,NA,NA
2.93,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,11.96,NA,NA,NA,NA,NA,NA
1.93,NA,NA,NA,NA,NA,NA,NA,24.47,0.17,NA,10.76,NA,NA,NA,NA,NA,NA
3.43,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5.82,NA,NA,NA,NA,NA,NA
10.89,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,9.47,NA,NA,NA,NA,NA,NA
5.59,NA,NA,0.01,NA,NA,NA,NA,NA,0.05,NA,3.1,NA,NA,NA,NA,NA,NA
3.71,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,20.9,NA,NA,NA,NA,NA,0.06
4.91,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,21.26,NA,NA,NA,NA,NA,NA
NA,6,0.32,5.42,2.59,NA,3.45,9.26,0.7,23.99,8.85,NA,1.19,NA,3.16,0.78,2,13.63
NA,0.33,0.8,24.59,0.42,0.8,3.8,16.58,0.6,10.17,21.33,NA,2.03,NA,8.03,0.57,2.24,27.9
NA,0.08,1.81,5.37,0.27,NA,5.78,11.53,0.6,12.72,26.35,NA,3.2,NA,0.53,3.06,7.77,7.43
NA,0.04,0.4,5.14,NA,NA,5.13,7.59,0.02,11.38,26.69,0.04,1.55,NA,NA,1.88,7.24,1.97
NA,0.95,0.9,17.38,7.35,NA,3.59,6.98,0.02,8.88,13.51,NA,3.52,41.89,NA,4,3.3,1.07
NA,0.05,1.27,4.47,15.2,NA,2.3,7.96,0.3,5.56,20.65,NA,0.27,4.17,3.74,0.72,17.01,0.68
NA,0.03,1.11,4.11,NA,NA,3.15,5.33,0.08,5.29,1.44,NA,2.1,26.53,1.78,0.35,11.96,0.8
0.05,0.66,1.22,25.6,NA,NA,2.73,15.74,0.08,6.88,7.44,NA,0.72,22,3.04,3.6,23.19,5.07
NA,0.76,0.99,1.72,0.29,0.07,14.24,3.67,0.12,146.3,2.46,0.05,0.02,7.47,0.5,0.82,3.14,3.72
NA,0.61,1.08,5.14,NA,19.79,4.76,24.31,NA,7.74,5.95,NA,1.06,18.86,2.69,NA,1.75,6.79
NA,0.06,0.63,0.68,NA,NA,7.95,13.57,NA,6.64,1.28,0.06,NA,15.21,2.25,NA,27.23,4.8
NA,0.01,0.72,14.74,NA,NA,4.37,8.73,0.04,6.84,0.36,0.07,7.63,13.27,2.19,5.24,3.15,5.59
NA,0.01,5.86,2.96,NA,NA,5.08,35.56,NA,8.53,0.71,NA,7.51,3.66,0.24,1.66,7.52,6.31
NA,0.06,0.68,1.98,NA,NA,5.74,8.72,NA,137.72,15.06,0.06,3.92,4.39,3.07,0.36,NA,6.21
NA,0.34,0.53,1.29,NA,NA,23.83,4.79,NA,7.75,NA,0.02,0.01,11.38,NA,0.16,0.11,8.77
NA,0.12,0.2,0.9,NA,0.18,6.05,29.39,NA,5.89,NA,NA,NA,14.34,0.39,0.31,0.66,10.3
NA,0.15,0.46,2.64,NA,0.2,5.37,5.9,0.02,7.91,NA,NA,0.06,9.15,0.54,0.54,2.99,8.08
NA,0.27,1.02,0.8,NA,NA,4.5,24.1,0.06,25.39,0.02,NA,0.01,6.97,1.01,0.12,0.88,10.12
0.02,0.19,0.09,1.84,NA,0.05,4.33,49.36,0.06,7.87,NA,NA,2.03,6.25,NA,0.08,0.34,7.79
NA,0.11,6.05,15.94,1.33,NA,405.93,39.94,0.69,20.55,0.28,NA,0.43,NA,NA,1.89,2.3,25.8
NA,70.69,19.01,9.55,NA,NA,1410.22,67.76,0.28,56.59,NA,NA,30.79,NA,NA,441.46,2.57,33.86
NA,0.09,14.4,27.86,NA,NA,361.8,102.34,29.74,75.41,2.32,NA,25.77,NA,NA,0.37,2.24,30.79
NA,0.07,7.88,34.12,NA,NA,254.97,35.99,0.25,43.26,0.29,NA,0.3,14.78,NA,NA,17.99,2.14
NA,0.08,25.28,2.26,NA,NA,216.28,7.58,0.17,38.13,5.34,NA,0.25,15.42,NA,0.72,3.08,15.97
NA,82.53,55.79,96.66,NA,0.19,481.45,61.41,28.24,43.7,48.89,NA,0.3,143.67,0.25,0.23,10.99,30.38
NA,0.06,6.89,31.34,NA,NA,304.78,15.77,0.02,28.66,3.06,NA,0.74,28.26,0.45,1.07,2.01,30.14
0.02,0.09,26.47,6.94,NA,NA,162.56,13.58,0.22,34.26,3.56,NA,0.14,24.42,0.4,0.06,1.65,3.97
NA,0.07,4.63,0.86,NA,NA,138.29,9.78,0.31,4.35,0.96,NA,0.21,13.64,0.22,0.24,1.9,3.71
NA,0.14,77.9,148.14,2.52,0.1,752.76,44.06,0.32,5.35,0.2,NA,1.13,75.78,0.39,2.43,17.25,73.37
NA,0.26,6.54,35.04,NA,NA,194.4,37.9,0.22,2.46,4.23,0.03,1.58,1.57,4.65,2.92,2.82,80.15
NA,0.24,9.52,2.26,NA,0.91,126.78,12.14,48.22,2.11,1.93,NA,4.88,4.82,1.73,3.16,6.71,38.95
NA,0.19,5.88,2.06,NA,0.32,96.65,5.17,0.89,1.38,2.5,NA,5.47,4.25,4.37,4.03,3.43,37.08
0.03,0.05,6.01,2.51,NA,0.79,127.04,18,1,19.32,0.76,NA,4.97,4.81,9.42,2.2,3.27,39.17
NA,0.37,7.06,2.53,NA,0.61,80.08,7.96,0.88,10.05,1.92,NA,6.41,3.08,8.26,2.59,2.22,109.55
NA,0.05,3.43,6.89,1.4,0.97,69.02,9.1,2.03,17.65,NA,NA,3.21,6.2,4.06,3.3,0.35,83.19
NA,16.26,40.64,50.52,NA,NA,1221.98,20.48,65.99,16.18,5.04,NA,1.61,48.63,4.18,1.97,0.19,269.72
0.03,3.46,10.77,7.45,0.01,0.46,152.05,92.83,2.28,83.29,5.46,NA,1.97,3.41,1.45,3.21,29.9,90.34
0.7,0.07,2.79,10.46,5.92,1.31,563.84,18.93,1.45,6.78,8.92,1.13,7.06,3.55,3.49,6.96,14.65,111.21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.55,NA,NA,NA,NA,NA,NA,3.65,NA,0.03,NA,NA,NA,0.03,NA,NA,28.6
NA,9.45,0.34,0.07,NA,NA,2.22,16.27,2.19,0.45,0.16,NA,0.53,NA,NA,6.89,NA,28.93
NA,8.25,NA,NA,NA,NA,1.98,30.27,6.72,0.12,1.07,NA,NA,NA,NA,5.85,0.65,23.13
NA,11.15,1.98,0.69,NA,0.45,2.51,10.99,1.27,0.38,0.8,NA,13.6,0.79,NA,0.65,2.2,17
NA,8.35,1.69,2.3,NA,0.28,1.51,10.74,1.33,1.63,0.31,NA,33.83,2.23,3.72,0.35,1.52,23.71
NA,7.87,1.5,1.35,NA,0.16,1.87,8.22,0.25,0.92,0.39,NA,9.18,0.62,1.28,0.02,2.5,27.51
NA,8.97,1.36,1.48,NA,0.68,1.67,14.78,1.22,2.49,4.88,NA,10.59,0.52,6.69,4.31,2.37,38.53
0.1,6.59,1.93,3.03,NA,0.88,1.58,8.56,1.37,3.23,3.55,NA,27.31,1.05,10.76,12.15,3.87,61.99
0.27,5.83,0.21,2.08,NA,0.22,2.53,9.02,1.7,0.85,0.05,NA,30.43,1.08,9.82,1.83,3.09,71.41
0.25,5.33,0.23,2.61,NA,0.1,3.49,57.11,3.31,1.33,5.08,NA,23.72,0.66,10.6,2.05,2.17,39.81
0.05,6.64,0.15,0.33,NA,0.22,3.84,16.05,8.18,1,1.74,NA,24.51,0.7,8.2,0.29,2.63,33.31
NA,7.43,0.02,0.62,NA,0.13,3.02,9.07,0.37,1.24,0.32,NA,22.41,0.4,12.02,0.16,2.03,33.43
NA,7.58,6.26,0.01,NA,0.18,3.39,13.33,0.14,0.46,NA,NA,19.79,1.32,7.42,0.21,0.33,21.2
0.01,8.56,0.54,0.19,NA,0.25,3.19,79.3,0.46,0.93,0.24,NA,8.13,NA,0.08,0.15,1.01,12.8
0.01,9.17,0.32,0.05,NA,0.47,4.32,110.91,0.52,0.97,0.14,NA,7.75,1.16,0.18,0.13,1.45,5.38
0.03,5.52,0.14,NA,0.06,0.35,4.68,18.61,0.44,0.67,0.25,NA,2.93,0.67,10.76,0.08,2.19,3.78
0.01,6.12,0.06,NA,NA,0.49,3.61,14.8,0.25,1.88,0.28,NA,1.99,0.44,0.11,0.08,1.2,6.91
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.16,NA,0.39,NA,NA,1.15,1.51,4.05,0.56,0.12,NA,0.23,NA,NA,0.98,0.05,NA
NA,0.12,0.18,0.99,NA,NA,2.81,1.59,3.47,1.1,0.27,NA,0.86,NA,NA,0.25,0.05,NA
0.04,0.22,0.58,2.04,NA,NA,1.66,1.46,5.85,1.01,0.1,NA,1.21,NA,NA,0.17,0.13,NA
NA,0.23,0.12,14.42,NA,NA,3.28,2.11,3.16,1.06,0.09,NA,3.73,NA,NA,0.33,0.65,NA
NA,0.12,2.03,9.47,NA,0.02,4.66,1.85,2.35,0.96,0.03,NA,2.44,16.26,NA,0.28,5.26,2.09
NA,0.12,0.6,12.91,NA,NA,0.97,1.63,2.65,8.71,3.55,NA,1.93,23.57,1.64,1.65,18.12,NA
NA,0.14,1.38,2.32,NA,0.7,2.02,4.65,6.52,1.6,NA,NA,5.28,21.91,1.82,2.52,3.18,NA
NA,0.09,2.51,4.98,NA,0.06,4.39,3.45,5.71,1.78,0.58,NA,0.49,20.49,0.4,3.3,0.26,4.57
NA,0.11,4.45,10.35,NA,0.11,4.21,2.2,5.18,2.28,6.7,NA,3.39,18.5,2.15,0.6,5,6.47
NA,0.28,7.26,13.13,NA,0.07,2.19,4.19,3.54,3.69,0.07,NA,4.3,23.28,5.3,3.6,0.88,6.39
NA,0.09,3.68,4.76,NA,0.6,3.69,4.62,0.44,5.8,0.26,NA,0.71,20.37,1.69,5.32,0.51,11.75
NA,0.1,3.32,19.44,NA,0.19,5.48,2.86,4.05,3.87,0.02,NA,1.71,20.36,3.73,9.36,6.98,10.44
NA,0.09,4.02,14.34,NA,0.23,3.06,2.51,0.07,5.52,0.21,NA,0.38,17.93,0.66,8.32,10.08,15.7
NA,0.06,3.65,1.48,NA,0.14,2.32,3.65,0.26,3.83,0.03,NA,0.33,19.71,0.71,3.23,NA,19.26
NA,0.07,3.34,1.47,NA,0.06,2.19,3.31,0.12,1.8,0.18,NA,0.4,23.9,NA,15.83,0.17,15.85
NA,0.1,5.88,3.98,NA,0.09,2.46,2.32,0.26,3.55,0.1,NA,2.42,38.68,0.8,7.73,0.25,31.66
NA,0.06,4.51,6.89,NA,0.03,2.65,3.13,0.91,3.66,0.11,NA,0.14,38.77,0.02,6.42,1.12,21.92
NA,0.08,4.29,3.24,0.02,NA,2.66,2.09,0.89,5.21,0.1,NA,0.79,53.14,0.06,1.22,0.45,15.37
0.63,0.05,3.71,5.74,NA,0.03,2.79,2.47,0.91,5.09,0.08,NA,3.54,17.06,0.01,6.47,0.29,14.75
NA,0.98,NA,NA,NA,NA,3.02,2.2,0.82,0.13,NA,NA,NA,NA,NA,NA,1.54,15.06
